item_name,item_buy_price,item_sell_price,item_total_price,buy_lp_profit,sell_lp_profit,buy_volume
Zainou 'Deadeye' Large Hybrid Turret LH-1005,132100000.0,147600000.0,79375000,630,816,1
Navy Cap Booster 3200,14204000.0,759000.0,8378800.0,691,807,339
Zainou 'Snapshot' Heavy Assault Missiles AM-705,132200000.0,146800000.0,79375000,631,806,2
Caldari Navy Nova Torpedo,10980000.0,2368.0,7187000.0,654,803,40740
Caldari Navy Mjolnir Light Missile,4198500.0,898.7,2479950.0,680,796,32447
Caldari Navy Lead Charge S,907000.0,448.0,1245000.0,-267,787,80000
Caldari Navy Scourge Heavy Assault Missile,4688000.0,1189.0,3460000.0,388,786,10000
Caldari Navy Scourge Light Missile,4107500.0,889.8,2467900.0,648,783,21731
Zainou 'Snapshot' Heavy Assault Missiles AM-703,17430000.0,19820000.0,10875000,571,780,10
Caldari Navy Antimatter Charge S,2072500.0,468.9,1359000.0,564,779,719186
Caldari Navy Nova Heavy Missile,5410000.0,1226.0,3674850.0,549,777,71765
Caldari Navy Iridium Charge M,450200.00000000006,624.7,1815000.0,-810,776,198528
Navy Cap Booster 400,1835400.0,100200.0,1193960.0,608,769,2459
Datacore - Mechanical Engineering,412200.0,89970.0,250000,615,759,3531
Zainou 'Gnome' Shield Operation SP-905,132400000.0,142700000.0,79375000,634,757,5
Caldari Navy Lead Charge M,2188500.0,620.0,1825000.0,215,756,18800
Zainou 'Deadeye' Trajectory Analysis TA-703,17600000.0,19540000.0,10875000,587,756,3
Rocket Specialization,400000.0,795500.0,0,380,755,71
Zainou 'Snapshot' Light Missiles LM-903,17860000.0,19460000.0,10875000,609,749,10
Zainou 'Deadeye' Target Navigation Prediction TN-903,17920000.0,19440000.0,10875000,614,747,1
Caldari Navy Nova Light Missile,4016500.0,869.4,2459700.0,615,746,54944
Zainou 'Deadeye' Guided Missile Precision GP-803,18200000.0,19430000.0,10875000,639,746,10
Caldari Navy Iron Charge S,1500500.0,432.2,1219950.0,221,744,27800
Eifyr and Co. 'Rogue' Navigation NN-603,18260000.0,19410000.0,10875000,645,744,11
Eifyr and Co. 'Gunslinger' Motion Prediction MR-701,101200.0,668900.0,375000,-694,743,19
Zainou 'Deadeye' Large Hybrid Turret LH-1003,13650000.0,19400000.0,10875000,242,743,1
Zainou 'Snapshot' Heavy Missiles HM-705,132000000.0,141500000.0,79375000,628,742,2
Caldari Navy Nova Heavy Assault Missile,5055000.0,1150.0,3415000.0,518,739,112209
Caldari Navy Inferno Torpedo,10605000.0,2400.0,7744500.0,494,734,3103
Caldari Navy Tungsten Charge S,868500.0,433.1,1240000.0,-294,732,16552
Zainou 'Deadeye' Rapid Launch RL-1005,131400000.0,140500000.0,79375000,622,731,2
Datacore - Caldari Starship Engineering,393100.0,88360.0,250000,543,728,4262
Zainou 'Gnome' Shield Operation SP-903,18110000.0,19180000.0,10875000,631,724,14
Zainou 'Gnome' Shield Management SM-705,131400000.0,140000000.0,79375000,622,724,1
Zainou 'Gnome' Shield Management SM-703,17500000.0,19130000.0,10875000,578,721,11
Caldari Navy Scourge Heavy Missile,5470000.0,1188.0,3674850.0,568,717,33467
Zainou 'Gnome' Launcher CPU Efficiency LE-603,14640000.0,19040000.0,10875000,328,712,3
Zainou 'Gypsy' CPU Management EE-605,129000000.0,138900000.0,79375000,593,711,1
Zainou 'Snapshot' Light Missiles LM-905,127100000.0,138400000.0,79375000,570,705,3
Zainou 'Deadeye' Guided Missile Precision GP-805,129500000.0,137800000.0,79375000,599,699,3
Caldari Navy Medium Shield Booster,158000000.0,274900000.0,245963790.0,-2063,678,3
Caldari Navy Mjolnir Heavy Missile,5185000.0,1163.0,3674850.0,477,677,74024
Caldari Navy Scourge Torpedo,9795000.0,2250.0,7349500.0,421,673,82992
Zainou 'Deadeye' Trajectory Analysis TA-701,40010.0,625000.0,375000,-849,632,30
Zainou 'Deadeye' Trajectory Analysis TA-705,115500000.0,132200000.0,79375000,432,631,4
Caldari Navy Plutonium Charge M,2305000.0,598.7,1930000.0,222,630,3971
Caldari Drone Specialization,1700000.0,1944000.0,0,537,615,20
