id,item_name,price_sell_jita,price_buy_jita,sell_vol_jita,buy_vol_jita,station_price_diff_jita_%,price_sell_amarr,price_buy_amarr,sell_vol_amarr,buy_vol_amarr,station_price_diff_amarr_%,jita_to_amarr_sell_sell_%,jita_to_amarr_buy_buy_%,jita_to_amarr_sell_buy_%,jita_to_amarr_buy_sell_%
651,Hoarder,3.96 M ISK,2.33 M ISK,1.00 ISK,2.00 ISK,41.16,4.15 M ISK,2.67 M ISK,4.00 ISK,2.00 ISK,35.63,4.75,14.59,-32.58,78.03
44993,Pacifier,432.50 M ISK,407.40 M ISK,1.00 ISK,1.00 ISK,5.8,453.00 M ISK,366.00 M ISK,1.00 ISK,1.00 ISK,19.21,4.74,-10.16,-15.38,11.19
607,Imicus,519.70 K ISK,387.70 K ISK,6.00 ISK,10.00 ISK,25.4,542.80 K ISK,49.00 K ISK,87.00 ISK,35.00 ISK,90.97,4.44,-87.36,-90.57,40.01
3756,Gnosis,43.84 M ISK,40.55 M ISK,2.00 ISK,1.00 ISK,7.5,45.65 M ISK,40.16 M ISK,9.00 ISK,3.00 ISK,12.03,4.13,-0.96,-8.39,12.58
12013,Broadsword,296.70 M ISK,281.40 M ISK,3.00 ISK,1.00 ISK,5.16,308.50 M ISK,269.90 M ISK,1.00 ISK,1.00 ISK,12.51,3.98,-4.09,-9.03,9.63
17843,Vexor Navy Issue,48.92 M ISK,46.27 M ISK,2.00 ISK,3.00 ISK,5.42,50.85 M ISK,39.01 M ISK,1.00 ISK,2.00 ISK,23.28,3.95,-15.69,-20.26,9.9
47270,Vedmak,82.84 M ISK,76.24 M ISK,1.00 ISK,7.00 ISK,7.97,85.98 M ISK,74.55 M ISK,1.00 ISK,5.00 ISK,13.29,3.79,-2.22,-10.01,12.78
29266,Apotheosis,384.90 K ISK,252.40 K ISK,10.00 ISK,13.00 ISK,34.42,399.40 K ISK,300.00 K ISK,1.00 ISK,494.00 ISK,24.89,3.77,18.86,-22.06,58.24
32311,Typhoon Fleet Issue,528.00 M ISK,486.20 M ISK,3.00 ISK,1.00 ISK,7.92,547.50 M ISK,498.70 M ISK,1.00 ISK,1.00 ISK,8.91,3.69,2.57,-5.55,12.61
608,Atron,573.50 K ISK,419.50 K ISK,1.00 ISK,23.00 ISK,26.85,594.20 K ISK,356.70 K ISK,5.00 ISK,144.00 ISK,39.97,3.61,-14.97,-37.8,41.64
643,Armageddon,288.30 M ISK,272.20 M ISK,1.00 ISK,1.00 ISK,5.58,298.50 M ISK,251.90 M ISK,1.00 ISK,1.00 ISK,15.61,3.54,-7.46,-12.63,9.66
17841,Federation Navy Comet,9.10 M ISK,8.13 M ISK,11.00 ISK,9.00 ISK,10.66,9.42 M ISK,7.22 M ISK,2.00 ISK,2.00 ISK,23.37,3.48,-11.24,-20.7,15.83
16242,Thrasher,1.30 M ISK,1.15 M ISK,1.00 ISK,131.00 ISK,11.46,1.34 M ISK,669.80 K ISK,9.00 ISK,27.00 ISK,50.2,3.46,-41.81,-48.48,16.85
37483,Magus,58.99 M ISK,53.14 M ISK,16.00 ISK,1.00 ISK,9.92,60.97 M ISK,35.00 M ISK,1.00 ISK,2.00 ISK,42.59,3.36,-34.14,-40.67,14.73
12743,Viator,151.20 M ISK,142.50 M ISK,1.00 ISK,4.00 ISK,5.75,156.20 M ISK,127.00 M ISK,4.00 ISK,1.00 ISK,18.69,3.31,-10.88,-16.01,9.61
11999,Vagabond,240.70 M ISK,231.20 M ISK,1.00 ISK,1.00 ISK,3.95,248.60 M ISK,226.20 M ISK,1.00 ISK,1.00 ISK,9.01,3.28,-2.16,-6.02,7.53
17922,Ashimmu,264.00 M ISK,242.90 M ISK,1.00 ISK,2.00 ISK,7.99,272.10 M ISK,229.60 M ISK,1.00 ISK,1.00 ISK,15.62,3.07,-5.48,-13.03,12.02
11192,Buzzard,26.38 M ISK,24.45 M ISK,2.00 ISK,5.00 ISK,7.32,27.16 M ISK,24.28 M ISK,1.00 ISK,5.00 ISK,10.6,2.96,-0.7,-7.96,11.08
17480,Procurer,54.40 M ISK,51.22 M ISK,6.00 ISK,10.00 ISK,5.85,56.00 M ISK,52.40 M ISK,1.00 ISK,4.00 ISK,6.43,2.94,2.3,-3.68,9.33
28606,Orca,1926.00 M ISK,1837.00 M ISK,2.00 ISK,1.00 ISK,4.62,1982.00 M ISK,1817.00 M ISK,1.00 ISK,2.00 ISK,8.32,2.91,-1.09,-5.66,7.89
12023,Deimos,195.20 M ISK,186.20 M ISK,1.00 ISK,1.00 ISK,4.61,200.70 M ISK,160.90 M ISK,1.00 ISK,1.00 ISK,19.83,2.82,-13.59,-17.57,7.79
37480,Bifrost,64.41 M ISK,59.20 M ISK,6.00 ISK,1.00 ISK,8.09,66.22 M ISK,41.70 M ISK,12.00 ISK,1.00 ISK,37.03,2.81,-29.56,-35.26,11.86
11365,Vengeance,25.00 M ISK,20.72 M ISK,7.00 ISK,7.00 ISK,17.12,25.70 M ISK,15.06 M ISK,4.00 ISK,1.00 ISK,41.4,2.8,-27.32,-39.76,24.03
17728,Megathron Navy Issue,509.20 M ISK,474.20 M ISK,1.00 ISK,2.00 ISK,6.87,523.10 M ISK,355.20 M ISK,1.00 ISK,1.00 ISK,32.1,2.73,-25.09,-30.24,10.31
17726,Apocalypse Navy Issue,507.40 M ISK,458.70 M ISK,1.00 ISK,1.00 ISK,9.6,521.20 M ISK,446.10 M ISK,1.00 ISK,1.00 ISK,14.41,2.72,-2.75,-12.08,13.63
11969,Arazu,242.30 M ISK,229.90 M ISK,2.00 ISK,1.00 ISK,5.12,248.60 M ISK,220.20 M ISK,3.00 ISK,1.00 ISK,11.42,2.6,-4.22,-9.12,8.13
631,Scythe,10.78 M ISK,7.23 M ISK,1.00 ISK,1.00 ISK,32.92,11.05 M ISK,6.13 M ISK,2.00 ISK,4.00 ISK,44.55,2.5,-15.27,-43.16,52.81
22544,Hulk,293.20 M ISK,270.80 M ISK,1.00 ISK,2.00 ISK,7.64,299.90 M ISK,265.30 M ISK,1.00 ISK,1.00 ISK,11.54,2.29,-2.03,-9.52,10.75
11379,Hawk,32.98 M ISK,31.00 M ISK,54.00 ISK,1.00 ISK,6.0,33.70 M ISK,27.55 M ISK,1.00 ISK,5.00 ISK,18.25,2.18,-11.13,-16.46,8.71
12019,Sacrilege,175.60 M ISK,166.40 M ISK,1.00 ISK,1.00 ISK,5.24,179.00 M ISK,171.60 M ISK,1.00 ISK,1.00 ISK,4.13,1.94,3.12,-2.28,7.57
17478,Retriever,59.84 M ISK,56.03 M ISK,1.00 ISK,3.00 ISK,6.37,60.96 M ISK,49.54 M ISK,1.00 ISK,1.00 ISK,18.73,1.87,-11.58,-17.21,8.8
73796,Catalyst Navy Issue,18.72 M ISK,16.55 M ISK,1.00 ISK,2.00 ISK,11.59,19.07 M ISK,16.52 M ISK,2.00 ISK,6.00 ISK,13.37,1.87,-0.18,-11.75,15.23
22448,Absolution,468.10 M ISK,435.60 M ISK,9.00 ISK,1.00 ISK,6.94,476.50 M ISK,323.60 M ISK,1.00 ISK,1.00 ISK,32.09,1.79,-25.71,-30.87,9.39
12735,Prowler,163.70 M ISK,152.90 M ISK,2.00 ISK,1.00 ISK,6.6,166.30 M ISK,133.10 M ISK,2.00 ISK,1.00 ISK,19.96,1.59,-12.95,-18.69,8.76
17740,Vindicator,1234.00 M ISK,1132.00 M ISK,1.00 ISK,1.00 ISK,8.27,1250.00 M ISK,1024.00 M ISK,1.00 ISK,1.00 ISK,18.08,1.3,-9.54,-17.02,10.42
29988,Proteus,219.60 M ISK,206.90 M ISK,3.00 ISK,1.00 ISK,5.78,222.00 M ISK,200.70 M ISK,1.00 ISK,1.00 ISK,9.59,1.09,-3.0,-8.61,7.3
17924,Succubus,103.90 M ISK,95.56 M ISK,2.00 ISK,2.00 ISK,8.03,105.00 M ISK,50.16 M ISK,1.00 ISK,2.00 ISK,52.23,1.06,-47.51,-51.72,9.88
17709,Omen Navy Issue,48.46 M ISK,42.89 M ISK,1.00 ISK,1.00 ISK,11.49,48.94 M ISK,44.16 M ISK,2.00 ISK,3.00 ISK,9.77,0.99,2.96,-8.87,14.11
656,Miasmos,3.19 M ISK,2.17 M ISK,2.00 ISK,10.00 ISK,32.01,3.21 M ISK,2.27 M ISK,1.00 ISK,4.00 ISK,29.5,0.85,4.57,-28.9,48.32
12038,Purifier,34.39 M ISK,31.27 M ISK,3.00 ISK,10.00 ISK,9.07,34.67 M ISK,28.16 M ISK,2.00 ISK,3.00 ISK,18.78,0.81,-9.95,-18.12,10.87
17718,Phantasm,263.00 M ISK,242.70 M ISK,2.00 ISK,3.00 ISK,7.72,264.90 M ISK,214.00 M ISK,1.00 ISK,1.00 ISK,19.21,0.72,-11.83,-18.63,9.15
22546,Skiff,243.30 M ISK,226.90 M ISK,1.00 ISK,1.00 ISK,6.74,245.00 M ISK,209.00 M ISK,1.00 ISK,1.00 ISK,14.69,0.7,-7.89,-14.1,7.98
22442,Eos,477.60 M ISK,437.10 M ISK,1.00 ISK,2.00 ISK,8.48,480.80 M ISK,367.20 M ISK,2.00 ISK,1.00 ISK,23.63,0.67,-15.99,-23.12,10.0
11371,Wolf,33.90 M ISK,31.79 M ISK,3.00 ISK,5.00 ISK,6.22,34.12 M ISK,26.86 M ISK,3.00 ISK,1.00 ISK,21.28,0.65,-15.51,-20.77,7.33
12015,Muninn,196.30 M ISK,189.10 M ISK,1.00 ISK,2.00 ISK,3.67,197.00 M ISK,152.20 M ISK,2.00 ISK,1.00 ISK,22.74,0.36,-19.51,-22.47,4.18
24688,Rokh,273.20 M ISK,257.40 M ISK,5.00 ISK,1.00 ISK,5.78,274.00 M ISK,245.30 M ISK,1.00 ISK,1.00 ISK,10.47,0.29,-4.7,-10.21,6.45
24702,Hurricane,59.04 M ISK,54.54 M ISK,5.00 ISK,3.00 ISK,7.62,58.98 M ISK,49.39 M ISK,4.00 ISK,3.00 ISK,16.26,-0.1,-9.44,-16.34,8.14
22444,Sleipnir,397.50 M ISK,379.30 M ISK,2.00 ISK,1.00 ISK,4.58,396.60 M ISK,350.40 M ISK,2.00 ISK,1.00 ISK,11.65,-0.23,-7.62,-11.85,4.56
11987,Guardian,176.70 M ISK,157.20 M ISK,1.00 ISK,1.00 ISK,11.04,176.00 M ISK,155.00 M ISK,3.00 ISK,4.00 ISK,11.93,-0.4,-1.4,-12.28,11.96
28710,Golem,1473.00 M ISK,1391.00 M ISK,2.00 ISK,1.00 ISK,5.57,1464.00 M ISK,1327.00 M ISK,1.00 ISK,1.00 ISK,9.36,-0.61,-4.6,-9.91,5.25
49713,Zarmazd,283.60 M ISK,275.10 M ISK,1.00 ISK,1.00 ISK,3.0,280.70 M ISK,214.50 M ISK,1.00 ISK,1.00 ISK,23.58,-1.02,-22.03,-24.37,2.04
24694,Maelstrom,299.10 M ISK,273.40 M ISK,3.00 ISK,1.00 ISK,8.59,296.00 M ISK,259.00 M ISK,1.00 ISK,1.00 ISK,12.5,-1.04,-5.27,-13.41,8.27
44995,Enforcer,510.30 M ISK,472.30 M ISK,1.00 ISK,1.00 ISK,7.45,505.00 M ISK,350.80 M ISK,1.00 ISK,1.00 ISK,30.53,-1.04,-25.73,-31.26,6.92
32307,Dominix Navy Issue,505.60 M ISK,472.10 M ISK,1.00 ISK,2.00 ISK,6.63,499.70 M ISK,400.00 M ISK,1.00 ISK,1.00 ISK,19.95,-1.17,-15.27,-20.89,5.85
2998,Noctis,139.50 M ISK,131.30 M ISK,1.00 ISK,1.00 ISK,5.88,137.80 M ISK,119.80 M ISK,1.00 ISK,2.00 ISK,13.06,-1.22,-8.76,-14.12,4.95
16233,Prophecy,53.74 M ISK,48.15 M ISK,2.00 ISK,1.00 ISK,10.4,52.99 M ISK,47.06 M ISK,2.00 ISK,3.00 ISK,11.19,-1.4,-2.26,-12.43,10.05
33472,Nestor,1016.00 M ISK,941.70 M ISK,3.00 ISK,1.00 ISK,7.31,1000.00 M ISK,889.50 M ISK,2.00 ISK,1.00 ISK,11.05,-1.57,-5.54,-12.45,6.19
12017,Devoter,360.90 M ISK,319.80 M ISK,1.00 ISK,2.00 ISK,11.39,355.20 M ISK,274.90 M ISK,2.00 ISK,1.00 ISK,22.61,-1.58,-14.04,-23.83,11.07
29990,Loki,233.60 M ISK,219.90 M ISK,9.00 ISK,5.00 ISK,5.86,229.90 M ISK,203.70 M ISK,1.00 ISK,1.00 ISK,11.4,-1.58,-7.37,-12.8,4.55
639,Tempest,317.00 M ISK,286.60 M ISK,1.00 ISK,1.00 ISK,9.59,311.80 M ISK,276.50 M ISK,1.00 ISK,1.00 ISK,11.32,-1.64,-3.52,-12.78,8.79
17920,Bhaalgorn,1213.00 M ISK,1126.00 M ISK,1.00 ISK,1.00 ISK,7.17,1193.00 M ISK,1034.00 M ISK,1.00 ISK,1.00 ISK,13.33,-1.65,-8.17,-14.76,5.95
640,Scorpion,221.60 M ISK,209.10 M ISK,1.00 ISK,1.00 ISK,5.64,217.90 M ISK,181.00 M ISK,1.00 ISK,1.00 ISK,16.93,-1.67,-13.44,-18.32,4.21
12731,Bustard,223.10 M ISK,206.20 M ISK,1.00 ISK,1.00 ISK,7.58,219.30 M ISK,191.60 M ISK,3.00 ISK,1.00 ISK,12.63,-1.7,-7.08,-14.12,6.35
24696,Harbinger,61.50 M ISK,55.34 M ISK,1.00 ISK,1.00 ISK,10.02,60.44 M ISK,53.44 M ISK,1.00 ISK,3.00 ISK,11.58,-1.72,-3.43,-13.11,9.22
11971,Lachesis,230.90 M ISK,212.30 M ISK,6.00 ISK,1.00 ISK,8.06,226.50 M ISK,190.30 M ISK,1.00 ISK,1.00 ISK,15.98,-1.91,-10.36,-17.58,6.69
34562,Svipul,62.89 M ISK,51.45 M ISK,2.00 ISK,2.00 ISK,18.19,61.59 M ISK,52.56 M ISK,3.00 ISK,3.00 ISK,14.66,-2.07,2.16,-16.43,19.71
627,Thorax,14.29 M ISK,12.78 M ISK,2.00 ISK,15.00 ISK,10.57,13.99 M ISK,13.02 M ISK,2.00 ISK,2.00 ISK,6.93,-2.1,1.88,-8.89,9.47
11200,Taranis,18.48 M ISK,16.45 M ISK,42.00 ISK,5.00 ISK,10.98,18.00 M ISK,8.55 M ISK,1.00 ISK,5.00 ISK,52.48,-2.6,-48.01,-53.72,9.42
49710,Kikimora,31.85 M ISK,29.42 M ISK,2.00 ISK,11.00 ISK,7.63,31.00 M ISK,26.98 M ISK,1.00 ISK,5.00 ISK,12.97,-2.67,-8.29,-15.29,5.37
16227,Ferox,43.16 M ISK,40.33 M ISK,1.00 ISK,2.00 ISK,6.56,41.98 M ISK,37.07 M ISK,4.00 ISK,2.00 ISK,11.7,-2.73,-8.08,-14.11,4.09
24692,Abaddon,309.80 M ISK,272.80 M ISK,1.00 ISK,1.00 ISK,11.94,300.90 M ISK,262.00 M ISK,1.00 ISK,1.00 ISK,12.93,-2.87,-3.96,-15.43,10.3
20187,Obelisk,2607.00 M ISK,2371.00 M ISK,1.00 ISK,1.00 ISK,9.05,2529.00 M ISK,2337.00 M ISK,1.00 ISK,1.00 ISK,7.59,-2.99,-1.43,-10.36,6.66
11993,Cerberus,228.20 M ISK,213.60 M ISK,2.00 ISK,3.00 ISK,6.4,221.00 M ISK,180.30 M ISK,1.00 ISK,1.00 ISK,18.42,-3.16,-15.59,-20.99,3.46
642,Apocalypse,270.40 M ISK,241.70 M ISK,1.00 ISK,1.00 ISK,10.61,261.10 M ISK,239.50 M ISK,1.00 ISK,2.00 ISK,8.27,-3.44,-0.91,-11.43,8.03
22446,Vulture,357.90 M ISK,338.00 M ISK,1.00 ISK,6.00 ISK,5.56,345.60 M ISK,253.60 M ISK,2.00 ISK,1.00 ISK,26.62,-3.44,-24.97,-29.14,2.25
44996,Marshal,13090.00 M ISK,11910.00 M ISK,1.00 ISK,1.00 ISK,9.01,12600.00 M ISK,9901.00 M ISK,1.00 ISK,1.00 ISK,21.42,-3.74,-16.87,-24.36,5.79
22464,Flycatcher,59.28 M ISK,54.13 M ISK,3.00 ISK,5.00 ISK,8.69,56.80 M ISK,42.00 M ISK,4.00 ISK,3.00 ISK,26.06,-4.18,-22.41,-29.15,4.93
37135,Endurance,25.70 M ISK,22.63 M ISK,19.00 ISK,1.00 ISK,11.95,24.60 M ISK,21.06 M ISK,1.00 ISK,1.00 ISK,14.39,-4.28,-6.94,-18.05,8.71
49712,Rodiva,61.55 M ISK,53.26 M ISK,3.00 ISK,9.00 ISK,13.47,58.91 M ISK,32.50 M ISK,1.00 ISK,4.00 ISK,44.83,-4.29,-38.98,-47.2,10.61
654,Kryos,3.23 M ISK,2.84 M ISK,9.00 ISK,1.00 ISK,12.06,3.09 M ISK,2.11 M ISK,1.00 ISK,5.00 ISK,31.84,-4.33,-25.84,-34.79,8.79
24690,Hyperion,318.80 M ISK,276.90 M ISK,1.00 ISK,1.00 ISK,13.14,303.90 M ISK,261.20 M ISK,2.00 ISK,1.00 ISK,14.05,-4.67,-5.67,-18.07,9.75
22436,Widow,1297.00 M ISK,1181.00 M ISK,1.00 ISK,1.00 ISK,8.94,1233.00 M ISK,1108.00 M ISK,1.00 ISK,1.00 ISK,10.14,-4.93,-6.18,-14.57,4.4
47271,Leshak,620.00 M ISK,569.30 M ISK,1.00 ISK,5.00 ISK,8.18,589.30 M ISK,525.00 M ISK,1.00 ISK,1.00 ISK,10.91,-4.95,-7.78,-15.32,3.51
22470,Nighthawk,408.90 M ISK,371.00 M ISK,1.00 ISK,1.00 ISK,9.27,387.00 M ISK,302.10 M ISK,1.00 ISK,1.00 ISK,21.94,-5.36,-18.57,-26.12,4.31
638,Raven,285.00 M ISK,257.10 M ISK,5.00 ISK,1.00 ISK,9.79,269.10 M ISK,230.30 M ISK,1.00 ISK,1.00 ISK,14.42,-5.58,-10.42,-19.19,4.67
47269,Damavik,26.96 M ISK,23.74 M ISK,11.00 ISK,10.00 ISK,11.94,25.41 M ISK,19.23 M ISK,1.00 ISK,3.00 ISK,24.32,-5.75,-19.0,-28.67,7.03
624,Maller,14.29 M ISK,12.83 M ISK,8.00 ISK,22.00 ISK,10.22,13.40 M ISK,10.87 M ISK,40.00 ISK,4.00 ISK,18.88,-6.23,-15.28,-23.93,4.44
22474,Damnation,407.60 M ISK,378.80 M ISK,1.00 ISK,1.00 ISK,7.07,382.20 M ISK,335.40 M ISK,1.00 ISK,1.00 ISK,12.24,-6.23,-11.46,-17.71,0.9
592,Navitas,160.00 K ISK,76.82 K ISK,1.00 ISK,1.00 ISK,51.99,150.00 K ISK,79.09 K ISK,7.00 ISK,23.00 ISK,47.27,-6.25,2.95,-50.57,95.26
16231,Cyclone,56.57 M ISK,50.73 M ISK,1.00 ISK,1.00 ISK,10.32,52.99 M ISK,45.09 M ISK,2.00 ISK,2.00 ISK,14.91,-6.33,-11.12,-20.29,4.45
605,Heron,680.00 K ISK,603.50 K ISK,30.00 ISK,71.00 ISK,11.25,635.00 K ISK,445.60 K ISK,9.00 ISK,12.00 ISK,29.83,-6.62,-26.16,-34.47,5.22
34828,Jackdaw,67.51 M ISK,61.45 M ISK,3.00 ISK,5.00 ISK,8.98,62.90 M ISK,57.01 M ISK,3.00 ISK,2.00 ISK,9.36,-6.83,-7.23,-15.55,2.36
645,Dominix,312.50 M ISK,272.20 M ISK,2.00 ISK,1.00 ISK,12.9,289.60 M ISK,263.00 M ISK,1.00 ISK,1.00 ISK,9.19,-7.33,-3.38,-15.84,6.39
22548,Mackinaw,345.90 M ISK,308.90 M ISK,1.00 ISK,2.00 ISK,10.7,319.80 M ISK,285.30 M ISK,1.00 ISK,1.00 ISK,10.79,-7.55,-7.64,-17.52,3.53
20185,Charon,2289.00 M ISK,2178.00 M ISK,1.00 ISK,1.00 ISK,4.85,2100.00 M ISK,1856.00 M ISK,2.00 ISK,1.00 ISK,11.62,-8.26,-14.78,-18.92,-3.58
29336,Scythe Fleet Issue,48.57 M ISK,44.60 M ISK,1.00 ISK,1.00 ISK,8.17,44.39 M ISK,40.00 M ISK,7.00 ISK,4.00 ISK,9.89,-8.61,-10.31,-17.64,-0.47
17722,Vigilant,385.30 M ISK,367.50 M ISK,1.00 ISK,1.00 ISK,4.62,351.30 M ISK,253.50 M ISK,1.00 ISK,1.00 ISK,27.84,-8.82,-31.02,-34.21,-4.41
655,Epithal,3.49 M ISK,2.79 M ISK,14.00 ISK,1.00 ISK,20.1,3.17 M ISK,1.26 M ISK,1.00 ISK,10.00 ISK,60.25,-9.22,-54.84,-63.92,13.62
16229,Brutix,66.21 M ISK,60.08 M ISK,8.00 ISK,2.00 ISK,9.26,59.93 M ISK,45.64 M ISK,1.00 ISK,3.00 ISK,23.84,-9.48,-24.03,-31.07,-0.25
11978,Scimitar,197.70 M ISK,180.50 M ISK,1.00 ISK,2.00 ISK,8.7,178.80 M ISK,158.50 M ISK,1.00 ISK,1.00 ISK,11.35,-9.56,-12.19,-19.83,-0.94
17703,Imperial Navy Slicer,9.98 M ISK,8.80 M ISK,27.00 ISK,5.00 ISK,11.86,9.00 M ISK,7.61 M ISK,8.00 ISK,3.00 ISK,15.4,-9.86,-13.49,-23.75,2.26
22456,Sabre,55.87 M ISK,51.22 M ISK,13.00 ISK,5.00 ISK,8.32,50.00 M ISK,45.58 M ISK,2.00 ISK,3.00 ISK,8.84,-10.51,-11.01,-18.42,-2.38
11957,Falcon,251.90 M ISK,241.80 M ISK,10.00 ISK,1.00 ISK,4.01,224.90 M ISK,159.00 M ISK,2.00 ISK,1.00 ISK,29.3,-10.72,-34.24,-36.88,-6.99
629,Rupture,13.57 M ISK,10.70 M ISK,14.00 ISK,1.00 ISK,21.15,11.94 M ISK,9.14 M ISK,3.00 ISK,1.00 ISK,23.43,-12.01,-14.55,-32.62,11.59
20189,Fenrir,2345.00 M ISK,2117.00 M ISK,1.00 ISK,1.00 ISK,9.72,2062.00 M ISK,1802.00 M ISK,1.00 ISK,1.00 ISK,12.61,-12.07,-14.88,-23.16,-2.6
22468,Claymore,426.90 M ISK,393.40 M ISK,1.00 ISK,2.00 ISK,7.85,375.00 M ISK,340.00 M ISK,2.00 ISK,1.00 ISK,9.33,-12.16,-13.57,-20.36,-4.68
22430,Sin,1347.00 M ISK,1206.00 M ISK,1.00 ISK,1.00 ISK,10.47,1181.00 M ISK,1030.00 M ISK,1.00 ISK,1.00 ISK,12.79,-12.32,-14.59,-23.53,-2.07
42244,Porpoise,160.00 M ISK,116.40 M ISK,107.00 ISK,5.00 ISK,27.25,139.60 M ISK,120.10 M ISK,1.00 ISK,2.00 ISK,13.97,-12.75,3.18,-24.94,19.93
49711,Drekavac,232.70 M ISK,196.10 M ISK,1.00 ISK,2.00 ISK,15.73,202.90 M ISK,172.80 M ISK,1.00 ISK,1.00 ISK,14.83,-12.81,-11.88,-25.74,3.47
37453,Crucifier Navy Issue,10.23 M ISK,7.30 M ISK,1.00 ISK,8.00 ISK,28.68,8.90 M ISK,6.09 M ISK,3.00 ISK,1.00 ISK,31.55,-13.0,-16.5,-40.45,21.98
22440,Panther,1305.00 M ISK,1233.00 M ISK,1.00 ISK,1.00 ISK,5.52,1135.00 M ISK,976.70 M ISK,1.00 ISK,1.00 ISK,13.95,-13.03,-20.79,-25.16,-7.95
73789,Coercer Navy Issue,23.04 M ISK,20.10 M ISK,38.00 ISK,1.00 ISK,12.76,20.00 M ISK,17.31 M ISK,2.00 ISK,1.00 ISK,13.45,-13.19,-13.88,-24.87,-0.5
11985,Basilisk,198.10 M ISK,188.10 M ISK,1.00 ISK,3.00 ISK,5.05,171.90 M ISK,140.30 M ISK,2.00 ISK,2.00 ISK,18.38,-13.23,-25.41,-29.18,-8.61
17715,Gila,256.20 M ISK,212.10 M ISK,1.00 ISK,1.00 ISK,17.21,221.70 M ISK,203.00 M ISK,1.00 ISK,2.00 ISK,8.43,-13.47,-4.29,-20.77,4.53
11989,Oneiros,222.00 M ISK,166.30 M ISK,8.00 ISK,1.00 ISK,25.09,189.80 M ISK,100.20 M ISK,3.00 ISK,1.00 ISK,47.21,-14.5,-39.75,-54.86,14.13
652,Mammoth,3.46 M ISK,2.71 M ISK,1.00 ISK,2.00 ISK,21.85,2.96 M ISK,2.24 M ISK,4.00 ISK,7.00 ISK,24.44,-14.52,-17.36,-35.41,9.38
583,Condor,529.90 K ISK,403.70 K ISK,4.00 ISK,8.00 ISK,23.82,449.90 K ISK,192.00 K ISK,151.00 ISK,14.00 ISK,57.32,-15.1,-52.44,-63.77,11.44
24698,Drake,59.99 M ISK,54.89 M ISK,1.00 ISK,4.00 ISK,8.5,50.92 M ISK,50.91 M ISK,1.00 ISK,2.00 ISK,0.02,-15.12,-7.25,-15.14,-7.23
626,Vexor,14.17 M ISK,13.19 M ISK,2.00 ISK,30.00 ISK,6.92,11.99 M ISK,10.69 M ISK,13.00 ISK,1.00 ISK,10.84,-15.38,-18.95,-24.56,-9.1
11178,Raptor,25.85 M ISK,22.34 M ISK,46.00 ISK,22.00 ISK,13.58,21.75 M ISK,16.78 M ISK,2.00 ISK,5.00 ISK,22.85,-15.86,-24.89,-35.09,-2.64
29337,Augoror Navy Issue,54.92 M ISK,47.42 M ISK,1.00 ISK,1.00 ISK,13.66,45.90 M ISK,40.31 M ISK,2.00 ISK,1.00 ISK,12.18,-16.42,-14.99,-26.6,-3.21
590,Inquisitor,600.00 K ISK,334.00 K ISK,30.00 ISK,14.00 ISK,44.33,495.80 K ISK,50.02 K ISK,56.00 ISK,172.00 ISK,89.91,-17.37,-85.02,-91.66,48.44
22466,Astarte,444.90 M ISK,342.80 M ISK,2.00 ISK,1.00 ISK,22.95,363.50 M ISK,301.10 M ISK,2.00 ISK,1.00 ISK,17.17,-18.3,-12.16,-32.32,6.04
17738,Machariel,1162.00 M ISK,844.40 M ISK,1.00 ISK,1.00 ISK,27.33,935.00 M ISK,862.30 M ISK,1.00 ISK,1.00 ISK,7.78,-19.54,2.12,-25.79,10.73
621,Caracal,13.90 M ISK,13.23 M ISK,3.00 ISK,22.00 ISK,4.82,11.08 M ISK,9.13 M ISK,5.00 ISK,5.00 ISK,17.55,-20.29,-30.95,-34.28,-16.25
16240,Catalyst,1.35 M ISK,1.19 M ISK,16.00 ISK,1.00 ISK,12.07,1.07 M ISK,814.00 K ISK,3.00 ISK,13.00 ISK,23.85,-20.81,-31.42,-39.7,-9.94
633,Celestis,11.44 M ISK,9.17 M ISK,2.00 ISK,1.00 ISK,19.85,9.00 M ISK,6.13 M ISK,1.00 ISK,3.00 ISK,31.91,-21.33,-33.17,-46.43,-1.84
589,Executioner,399.00 K ISK,310.00 K ISK,3.00 ISK,5.00 ISK,22.31,310.00 K ISK,202.10 K ISK,100.00 ISK,2.00 ISK,34.81,-22.31,-34.81,-49.35,0.0
72907,Magnate Navy Issue,13.95 M ISK,9.25 M ISK,5.00 ISK,2.00 ISK,33.68,10.64 M ISK,7.02 M ISK,10.00 ISK,1.00 ISK,34.02,-23.73,-24.12,-49.68,15.01
16236,Coercer,1.27 M ISK,966.00 K ISK,1.00 ISK,4.00 ISK,23.88,959.00 K ISK,782.20 K ISK,2.00 ISK,11.00 ISK,18.44,-24.43,-19.03,-38.36,-0.72
599,Burst,200.10 K ISK,200.00 K ISK,1.00 ISK,133.00 ISK,0.05,147.90 K ISK,75.09 K ISK,80.00 ISK,37.00 ISK,49.23,-26.09,-62.46,-62.47,-26.05
602,Kestrel,610.00 K ISK,480.10 K ISK,283.00 ISK,3.00 ISK,21.3,446.70 K ISK,129.30 K ISK,6.00 ISK,17.00 ISK,71.05,-26.77,-73.07,-78.8,-6.96
24700,Myrmidon,82.00 M ISK,66.20 M ISK,4.00 ISK,10.00 ISK,19.27,57.93 M ISK,46.85 M ISK,1.00 ISK,1.00 ISK,19.13,-29.35,-29.23,-42.87,-12.49
