id,item_name,price_sell_jita,price_buy_jita,sell_vol_jita,buy_vol_jita,station_price_diff_jita_%,price_sell_amarr,price_buy_amarr,sell_vol_amarr,buy_vol_amarr,station_price_diff_amarr_%,jita_to_amarr_sell_sell_%,jita_to_amarr_buy_buy_%,jita_to_amarr_sell_buy_%,jita_to_amarr_buy_sell_%
54732,Stormbringer,309.90 M ISK,272.80 M ISK,1.00 ISK,10.00 ISK,11.97,395.80 M ISK,310.10 M ISK,1.00 ISK,3.00 ISK,21.65,27.72,13.67,0.06,45.09
73795,Cormorant Navy Issue,17.83 M ISK,15.05 M ISK,11.00 ISK,1.00 ISK,15.59,22.77 M ISK,14.16 M ISK,2.00 ISK,5.00 ISK,37.81,27.71,-5.91,-20.58,51.3
37456,Maulus Navy Issue,7.85 M ISK,7.06 M ISK,10.00 ISK,1.00 ISK,10.12,10.00 M ISK,8.01 M ISK,2.00 ISK,9.00 ISK,19.85,27.33,13.55,2.05,41.67
620,Osprey,10.86 M ISK,9.92 M ISK,18.00 ISK,3.00 ISK,8.68,13.78 M ISK,9.13 M ISK,3.00 ISK,3.00 ISK,33.75,26.89,-7.95,-15.94,38.95
634,Exequror,12.75 M ISK,10.30 M ISK,45.00 ISK,7.00 ISK,19.22,15.87 M ISK,10.85 M ISK,3.00 ISK,1.00 ISK,31.63,24.47,5.34,-14.9,54.08
54733,Thunderchild,878.90 M ISK,820.20 M ISK,3.00 ISK,1.00 ISK,6.68,1091.00 M ISK,876.50 M ISK,1.00 ISK,1.00 ISK,19.66,24.13,6.86,-0.27,33.02
11174,Keres,24.85 M ISK,20.02 M ISK,55.00 ISK,20.00 ISK,19.44,30.81 M ISK,20.00 M ISK,4.00 ISK,1.00 ISK,35.09,23.98,-0.1,-19.52,53.9
29340,Osprey Navy Issue,42.94 M ISK,40.49 M ISK,3.00 ISK,12.00 ISK,5.71,53.12 M ISK,44.30 M ISK,2.00 ISK,2.00 ISK,16.6,23.71,9.41,3.17,31.19
11172,Helios,22.82 M ISK,19.29 M ISK,4.00 ISK,2.00 ISK,15.47,28.15 M ISK,24.32 M ISK,6.00 ISK,3.00 ISK,13.61,23.36,26.08,6.57,45.93
11381,Harpy,29.60 M ISK,27.23 M ISK,7.00 ISK,4.00 ISK,8.01,36.34 M ISK,24.13 M ISK,2.00 ISK,1.00 ISK,33.6,22.77,-11.38,-18.48,33.46
72904,Heron Navy Issue,8.99 M ISK,7.77 M ISK,4.00 ISK,1.00 ISK,13.52,10.98 M ISK,8.18 M ISK,2.00 ISK,2.00 ISK,25.52,22.16,5.21,-9.01,41.26
54731,Skybreaker,82.00 M ISK,72.82 M ISK,86.00 ISK,2.00 ISK,11.2,99.85 M ISK,66.26 M ISK,1.00 ISK,3.00 ISK,33.64,21.77,-9.01,-19.2,37.12
11198,Stiletto,20.75 M ISK,19.52 M ISK,4.00 ISK,7.00 ISK,5.93,25.16 M ISK,20.15 M ISK,1.00 ISK,4.00 ISK,19.91,21.25,3.23,-2.89,28.89
11188,Anathema,23.04 M ISK,21.24 M ISK,2.00 ISK,4.00 ISK,7.81,27.90 M ISK,24.66 M ISK,4.00 ISK,1.00 ISK,11.61,21.09,16.1,7.03,31.36
11393,Retribution,33.85 M ISK,30.66 M ISK,35.00 ISK,10.00 ISK,9.42,40.96 M ISK,35.35 M ISK,1.00 ISK,1.00 ISK,13.7,21.0,15.3,4.43,33.59
34496,Council Diplomatic Shuttle,4.06 M ISK,3.86 M ISK,1.00 ISK,54.00 ISK,4.97,4.90 M ISK,4.00 M ISK,6.00 ISK,96.00 ISK,18.35,20.61,3.63,-1.53,26.92
33470,Stratios,217.50 M ISK,205.10 M ISK,4.00 ISK,1.00 ISK,5.7,262.20 M ISK,208.10 M ISK,1.00 ISK,2.00 ISK,20.63,20.55,1.46,-4.32,27.84
42685,Sunesis,20.00 M ISK,18.82 M ISK,2.00 ISK,18.00 ISK,5.9,23.97 M ISK,19.72 M ISK,1.00 ISK,2.00 ISK,17.73,19.85,4.78,-1.4,27.36
657,Iteron Mark V,3.29 M ISK,2.88 M ISK,11.00 ISK,30.00 ISK,12.57,3.94 M ISK,2.48 M ISK,3.00 ISK,1.00 ISK,37.03,19.61,-13.85,-24.68,36.81
45534,Monitor,411.80 M ISK,374.10 M ISK,5.00 ISK,1.00 ISK,9.15,489.90 M ISK,336.60 M ISK,1.00 ISK,1.00 ISK,31.29,18.97,-10.02,-18.26,30.95
72811,Cyclone Fleet Issue,137.70 M ISK,123.40 M ISK,14.00 ISK,1.00 ISK,10.38,163.40 M ISK,134.90 M ISK,1.00 ISK,2.00 ISK,17.44,18.66,9.32,-2.03,32.41
17930,Worm,58.44 M ISK,55.05 M ISK,6.00 ISK,6.00 ISK,5.8,69.29 M ISK,59.09 M ISK,1.00 ISK,1.00 ISK,14.72,18.57,7.34,1.11,25.87
11202,Ares,16.94 M ISK,16.24 M ISK,16.00 ISK,4.00 ISK,4.13,19.99 M ISK,14.20 M ISK,4.00 ISK,3.00 ISK,28.96,18.0,-12.56,-16.17,23.09
72872,Prophecy Navy Issue,144.40 M ISK,122.80 M ISK,2.00 ISK,5.00 ISK,14.96,169.90 M ISK,145.00 M ISK,4.00 ISK,1.00 ISK,14.66,17.66,18.08,0.42,38.36
28850,Ark,10780.00 M ISK,9266.00 M ISK,1.00 ISK,1.00 ISK,14.04,12640.00 M ISK,10110.00 M ISK,1.00 ISK,1.00 ISK,20.02,17.25,9.11,-6.22,36.41
11196,Claw,18.01 M ISK,15.93 M ISK,45.00 ISK,3.00 ISK,11.55,20.97 M ISK,17.74 M ISK,4.00 ISK,1.00 ISK,15.4,16.44,11.36,-1.5,31.64
33697,Prospect,19.72 M ISK,18.33 M ISK,4.00 ISK,15.00 ISK,7.05,22.95 M ISK,19.47 M ISK,1.00 ISK,5.00 ISK,15.16,16.38,6.22,-1.27,25.2
47466,Praxis,191.80 M ISK,181.80 M ISK,1.00 ISK,2.00 ISK,5.21,223.20 M ISK,194.70 M ISK,2.00 ISK,1.00 ISK,12.77,16.37,7.1,1.51,22.77
11176,Crow,20.78 M ISK,19.13 M ISK,9.00 ISK,38.00 ISK,7.94,23.99 M ISK,19.94 M ISK,9.00 ISK,4.00 ISK,16.88,15.45,4.23,-4.04,25.41
606,Velator,2.61 K ISK,2.61 K ISK,1.00 ISK,9.48 K ISK,0.04,3.01 K ISK,10.00 ISK,1.00 ISK,49.00 ISK,99.67,15.32,-99.62,-99.62,15.36
28661,Kronos,1325.00 M ISK,1220.00 M ISK,1.00 ISK,1.00 ISK,7.92,1527.00 M ISK,1341.00 M ISK,1.00 ISK,1.00 ISK,12.18,15.25,9.92,1.21,25.16
644,Typhoon,301.10 M ISK,276.30 M ISK,1.00 ISK,1.00 ISK,8.24,347.00 M ISK,261.30 M ISK,1.00 ISK,1.00 ISK,24.7,15.24,-5.43,-13.22,25.59
12747,Mastodon,195.30 M ISK,183.90 M ISK,1.00 ISK,1.00 ISK,5.84,225.00 M ISK,198.80 M ISK,1.00 ISK,1.00 ISK,11.64,15.21,8.1,1.79,22.35
622,Stabber,14.75 M ISK,13.41 M ISK,52.00 ISK,10.00 ISK,9.08,16.91 M ISK,9.86 M ISK,2.00 ISK,4.00 ISK,41.69,14.64,-26.47,-33.15,26.1
52250,Nergal,127.70 M ISK,122.20 M ISK,5.00 ISK,3.00 ISK,4.31,145.80 M ISK,107.10 M ISK,1.00 ISK,1.00 ISK,26.54,14.17,-12.36,-16.13,19.31
17926,Cruor,108.20 M ISK,99.00 M ISK,1.00 ISK,3.00 ISK,8.5,122.90 M ISK,100.50 M ISK,1.00 ISK,1.00 ISK,18.23,13.59,1.52,-7.12,24.14
641,Megathron,274.10 M ISK,257.70 M ISK,1.00 ISK,1.00 ISK,5.98,311.30 M ISK,250.10 M ISK,1.00 ISK,1.00 ISK,19.66,13.57,-2.95,-8.76,20.8
32880,Venture,400.00 K ISK,384.50 K ISK,1.00 ISK,175.00 ISK,3.88,454.00 K ISK,302.40 K ISK,4.00 ISK,5.00 ISK,33.39,13.5,-21.35,-24.4,18.08
52254,Draugur,186.90 M ISK,170.40 M ISK,1.00 ISK,2.00 ISK,8.83,211.50 M ISK,176.10 M ISK,1.00 ISK,2.00 ISK,16.74,13.16,3.35,-5.78,24.12
